,Unnamed: 0,Place,Country,CurrencyName,CurrencyCode,1.00 INR,inv 1 INR
0,0,Bali, Indonesia,Indonesian Rupiah,IDR,196.487397,0.005089
1,1,North East India,East India,RUPEE,INR,1,1
2,2,Galle, Sri Lanka,Sri Lankan Rupee,LKR,2.5088220000000003,0.398594
3,3,Siemp Reap, Cambodia,NA,NA,NA,NA
4,4,Lhasa, Tibet,NA,NA,NA,NA
5,5,Sydney, Australia,Australian Dollar,AUD,0.020532,48.703934
6,6,Everest Base Camp, Nepal,Nepalese Rupee,NPR,1.6075,0.622084
7,7,Ibiza, Spain,NA,NA,NA,NA
8,8,Palawan, The Philippines,Philippine Peso,PHP,0.707555,1.413317
9,9,Cartagena, Colombia,Colombian Peso,COP,47.644348,0.020989
10,10,Frankfurt, Germany,NA,NA,NA,NA
11,11,Bordeaux, France,NA,NA,NA,NA
12,12,Masada, Israel,Israeli Shekel,ILS,0.048244,20.727991
13,13,Gili islands, Indonesia,Indonesian Rupiah,IDR,196.487397,0.005089
14,14,Shangai, China,Chinese Yuan Renminbi,CNY,0.097981,10.206077
15,15,Rome, Italy,NA,NA,NA,NA
16,16,Mexico City, Mexico,Mexican Peso,MXN,0.270312,3.699427
17,17,Miami, Florida,NA,NA,NA,NA
18,18,Abu Dhabi, UAE,NA,NA,NA,NA
19,19,Cairo, Egypt,NA,NA,NA,NA
20,20,Bangkok, Thailand,Thai Baht,THB,0.4211,2.374734
21,21,Sipadan Island, Malaysia,Malaysian Ringgit,MYR,0.058079,17.218015
22,22,Crete, Greece,NA,NA,NA,NA
23,23,Azores, Portugal,NA,NA,NA,NA
24,24,Hanoi, Vietnam,NA,NA,NA,NA
25,25,California, USA,NA,NA,NA,NA
26,26,San Sebastian, Spain,NA,NA,NA,NA
27,27,Singapore,Singapore,Singapore Dollar,SGD,0.018988,52.66459
28,28,Laos,Laos,NA,NA,NA,NA
29,29,Langkawi, Malaysia,Malaysian Ringgit,MYR,0.058079,17.218015
30,30,Bhutan,Bhutan,NA,NA,NA,NA
31,31,Alleppey, India,RUPEE,INR,1,1
32,32,Leh,Leh,RUPEE,INR,1,1
33,33,Prague, Czech Republic,Czech Koruna,CZK,0.32157600000000003,3.109688
34,34,Zurich, Switzerland,NA,NA,NA,NA
35,35,Amsterdam, Netherlands,Euro,EUR,0.012597,79.382435
36,36,Venice, Italy,NA,NA,NA,NA
37,37,London, England,NA,NA,NA,NA
38,38,Paris, France,NA,NA,NA,NA
39,39,Florence, Italy,NA,NA,NA,NA
40,40,Cape Town, SA,NA,NA,NA,NA
41,41,Reykjavik, Iceland,Icelandic Krona,ISK,1.717027,0.5824020000000001
42,42,Machu Picchu, Peru,NA,NA,NA,NA
43,43,Budapest, Hungary,Hungarian Forint,HUF,4.214878,0.237255
44,44,Sipadan Island, Malaysia,Malaysian Ringgit,MYR,0.058079,17.218015
45,45,Dublin, Ireland,Icelandic Krona,ISK,1.717027,0.5824020000000001
46,46,Cologne, Germany,NA,NA,NA,NA
47,47,Edinburgh, Scotland,NA,NA,NA,NA
48,48,Hong Kong, China,Chinese Yuan Renminbi,CNY,0.097981,10.206077
49,49,Melbourne, Australia,Australian Dollar,AUD,0.020532,48.703934
50,50,Barcelona, Spain,NA,NA,NA,NA
